message,sender,time
You joined the room 'TEAMC',,
You can now privately message individual users by starting your message with the user's name followed by a colon (Example: 'Bill: hey'),,
la la la la,AmyTA,17:23 PM
aljsdflksjf,AmyTA,17:23 PM
lajsflkajsdf,AmyTA,17:23 PM
ha ha ha,AmyTA,17:23 PM
sjf,AmyTA,17:23 PM
lajsf,AmyTA,17:23 PM
lkajsf,AmyTA,17:23 PM
lksjdflksjdflkj,AmyTA,17:24 PM
slkdfjalksjdf,AmyTA,17:24 PM
lkjsf,AmyTA,17:24 PM
alskjdflakjsdflkajsdflkjasdf,AmyTA,17:24 PM
alkjsfljasldfjlaksjdfkljasdf,AmyTA,17:24 PM
what,AmyTA,17:24 PM
what,AmyTA,17:24 PM
l,AmyTA,17:24 PM
l,AmyTA,17:24 PM
inter,AmyTA,17:24 PM
intersesting,AmyTA,17:24 PM
this is kind of cool,AmyTA,17:24 PM
"yup, i tend to agree",AmyTA,17:24 PM
alksjdf,AmyTA,17:24 PM
